price,grade_of_the_house,living_area,living_area_renov,area_of_the_house(excluding_basement),number_of_bathrooms,lattitude,number_of_bedrooms,number_of_floors,number_of_views,area_of_the_basement,postal_code,id
838000,1.383370250106781,1.6874916518576655,2.269380880420183,2.164077509985479,0.6100457994457223,1.1656544714728057,0.718714391823724,0.9597565479532632,-0.26801411525313085,-0.6582524540274077,-1.466558365537972,-1.4859906952158852
805000,0.4238042693144947,0.9184126380550093,0.2024620021714926,0.21504494851694647,-0.09412483600326507,0.8192903672684083,-0.36691642629998056,0.02972816044911872,-0.26801411525313085,1.3557560274965779,-1.414053961405854,-1.4328918913286803
790000,1.383370250106781,0.7774148188578557,0.7151860649928732,-0.030287821458113557,0.6100457994457223,0.8807075073953774,-0.36691642629998056,-0.9003002270550258,-0.26801411525313085,1.5256121644925769,-1.361549557273736,-1.4014384597267056
785000,2.3429362308990673,2.1361210765758814,2.2213129995306784,2.641113451603651,1.6663017526192034,-0.18766506969685304,1.8043452099474286,0.9597565479532632,2.840276782900125,-0.6582524540274077,-1.309045153141618,-1.392645027235831
750000,0.4238042693144947,0.31596741057626204,-0.5826467190237464,-0.23473179643733025,-0.44621015372775874,0.9671199952484526,-0.36691642629998056,0.9597565479532632,-0.26801411525313085,1.0160437535045803,-1.414053961405854,-1.3179008510633963
750000,0.4238042693144947,0.5082371640269261,0.12234886735565188,-0.3846573780887558,0.6100457994457223,0.08157053295273411,-0.36691642629998056,-0.9003002270550258,2.840276782900125,1.646937976632576,-1.2565407490095,-1.3177317465924179
698000,-0.5357617114777915,0.26469547632275164,0.6190503032138643,-0.5754717547360247,0.2579604817212286,0.8892773409014448,0.718714391823724,0.02972816044911872,-0.26801411525313085,1.5256121644925769,-1.204036344877382,-1.1721327970800508
675000,0.4238042693144947,1.059410457252163,1.4201816513722714,1.4962271917200376,0.6100457994457223,0.1387027563266187,1.8043452099474286,0.9597565479532632,-0.26801411525313085,-0.6582524540274077,-1.1515319407452642,-1.1170047395411058
650000,-0.5357617114777915,-0.22238789908559725,0.2024620021714926,-0.11206541144980023,-0.09412483600326507,0.8678527571362255,0.718714391823724,0.02972816044911872,1.2861313338234972,-0.22147953032341083,-1.414053961405854,-1.0429369812525846
640000,-0.5357617114777915,-0.6069274059869253,-0.03787740227602954,-0.2756205914331736,-0.09412483600326507,0.84285740941017,0.718714391823724,0.02972816044911872,-0.26801411525313085,-0.6582524540274077,-1.414053961405854,-1.003028326101692
630000,1.383370250106781,0.9184126380550093,0.7312086919560413,1.346301610068612,0.9621311171702159,-0.6897144825951645,0.718714391823724,0.9597565479532632,-0.26801411525313085,-0.6582524540274077,-1.0990275366131461,-0.9703911632028687
